property_type,sector,price,bedRoom,bathroom,agePossession,built_up_area,servant room,furnishing_type,luxury_category
0,sector 107,1.4,3.0,4.0,new,2137.0,1.0,0.0,1
1,sector 50,6.5,5.0,6.0,old,3000.0,0.0,0.0,0
0,sector 4,0.43,2.0,2.0,new,722.0,0.0,0.0,0
0,sector 37c,1.44,3.0,3.0,new,1789.0,1.0,0.0,0
0,sector 49,2.1,3.0,3.0,old,1604.25,0.0,1.0,1
0,sector 2,0.35,2.0,2.0,new,800.0,0.0,0.0,0
0,sector 50,1.8,3.0,4.0,old,1870.0,1.0,1.0,2
0,sector 68,1.2,2.0,2.0,new,982.0,0.0,2.0,1
1,sector 50,7.35,4.0,4.0,old,1760.0,1.0,1.0,1
0,sector 82a,3.5,5.0,5.0,new,2896.0,0.0,2.0,0
0,sector 61,2.1,3.0,2.0,under construction,1534.0,0.0,0.0,1
1,sector 4,0.85,3.0,3.0,old,1130.0,0.0,0.0,0
0,sector 85,1.19,2.0,2.0,new,1670.0,0.0,0.0,0
0,sohna road,0.29,2.0,2.0,new,577.0,0.0,0.0,0
0,sector 72,4.0,4.0,5.0,old,2629.0,1.0,0.0,0
0,sector 82,1.25,3.0,4.0,under construction,1774.0,0.0,0.0,1
0,sector 113,2.45,3.0,3.0,new,2014.0,0.0,0.0,1
0,sector 85,2.03,4.0,4.0,new,2225.0,0.0,0.0,0
0,sector 85,0.67,2.0,2.0,new,1250.0,0.0,1.0,2
0,sector 66,4.6,3.0,3.0,new,2882.0,1.0,0.0,1
0,sector 3,0.55,2.0,2.0,old,900.0,0.0,0.0,1
0,sector 36a,0.5,1.0,1.0,new,600.0,0.0,0.0,0
0,sector 69,1.75,4.0,4.0,new,1819.0,0.0,1.0,1
0,sector 69,1.76,3.0,4.0,new,1674.0,0.0,0.0,2
0,sector 102,2.15,3.0,4.0,new,1945.0,1.0,1.0,1
0,sector 108,0.93,2.0,3.0,new,1161.0,0.0,0.0,1
1,sector 55,4.6,3.0,3.0,old,2160.0,1.0,1.0,0
0,sector 73,1.0,2.0,2.0,new,1444.0,0.0,0.0,0
0,sector 28,2.25,3.0,3.0,old,1700.0,1.0,0.0,1
0,manesar,0.81,3.0,3.0,old,1900.0,1.0,0.0,1
0,sector 49,3.6,4.0,5.0,old,3356.0,1.0,2.0,0
0,sector 83,1.75,3.0,3.0,new,1600.0,1.0,1.0,2
0,sector 22,2.55,3.0,3.0,new,1860.0,0.0,1.0,1
0,sector 56,0.47,1.0,1.0,old,672.0,0.0,1.0,1
0,sector 104,0.26,1.0,1.0,new,301.0,0.0,0.0,1
0,sector 108,0.98,2.0,3.0,new,978.223232,1.0,0.0,0
0,sector 112,5.31,4.0,6.0,new,3573.33,1.0,0.0,1
0,sector 102,1.1,2.0,2.0,under construction,817.0,0.0,0.0,1
0,sector 102,2.61,3.0,3.0,new,2200.0,1.0,0.0,0
0,sector 9a,0.94,3.0,3.0,old,1722.0,0.0,1.0,1
0,sector 65,3.5,3.0,3.0,new,2282.0,1.0,1.0,2
0,sector 99a,0.59,2.0,2.0,under construction,1133.0,0.0,0.0,1
0,sector 81,0.49,2.0,2.0,new,700.0,0.0,0.0,1
0,sector 61,2.6,3.0,3.0,new,1766.0,0.0,0.0,0
0,sector 63,3.0,3.0,3.0,new,1642.0,1.0,1.0,0
0,sector 74,2.25,3.0,3.0,new,1900.0,0.0,0.0,2
0,sector 81,0.48,2.0,2.0,new,547.0,0.0,1.0,0
0,sector 37d,1.72,3.0,3.0,new,1983.0,1.0,0.0,0
1,sector 45,17.0,5.0,8.0,new,4500.0,1.0,2.0,2
0,sector 86,1.25,3.0,2.0,new,1529.0,0.0,0.0,0
0,sector 72,6.75,4.0,4.0,new,4000.0,1.0,1.0,2
0,sector 33,1.5,3.0,3.0,under construction,1403.0,0.0,0.0,1
0,sector 37c,0.6,2.0,2.0,under construction,1180.0,0.0,0.0,1
0,sohna road,0.78,2.0,2.0,under construction,1222.0,0.0,0.0,1
0,sector 89,1.2,3.0,3.0,new,1423.0,0.0,0.0,0
0,sector 102,1.26,2.0,2.0,new,1100.0,0.0,1.0,0
1,sector 43,9.85,5.0,5.0,old,3323.0,1.0,0.0,0
0,sector 78,1.25,4.0,4.0,new,2300.0,1.0,0.0,1
0,sector 69,0.75,2.0,2.0,old,1100.0,0.0,0.0,0
0,sector 82a,2.85,4.0,4.0,new,2179.0,1.0,2.0,2
0,sector 51,2.1,4.0,4.0,new,2300.0,0.0,0.0,1
0,sector 109,2.2,3.0,3.0,old,2576.0,1.0,1.0,1
0,sector 93,0.36,2.0,2.0,new,604.0,0.0,0.0,0
0,sector 85,1.18,2.0,3.0,new,1420.0,0.0,1.0,2
1,sohna road road,1.2,1.0,4.0,old,535.0,0.0,0.0,0
0,sector 37c,0.87,2.0,3.0,new,1428.0,0.0,0.0,0
0,sector 70a,1.6,3.0,3.0,new,1750.0,1.0,0.0,1
0,sector 89,1.3,3.0,3.0,new,1581.0,0.0,0.0,0
0,sector 37c,1.2,3.0,3.0,under construction,1647.0,0.0,0.0,0
0,manesar,1.65,4.0,3.0,new,3111.0,1.0,0.0,0
0,sector 88a,0.5,3.0,2.0,under construction,663.0,0.0,0.0,0
0,sector 79,0.8,2.0,2.0,new,1688.0,0.0,0.0,0
0,sohna road,0.93,2.0,2.0,under construction,1000.0,0.0,0.0,0
0,sector 102,1.95,3.0,3.0,new,1465.0,0.0,0.0,1
0,sector 67,3.5,3.0,4.0,new,2225.0,1.0,1.0,2
0,sector 107,0.75,2.0,2.0,new,1201.0,0.0,0.0,2
0,sector 81,0.87,2.0,2.0,new,1300.0,0.0,0.0,1
0,sector 70a,1.7,4.0,3.0,new,2111.0,0.0,1.0,0
0,sector 86,1.55,3.0,3.0,new,1500.0,0.0,2.0,2
0,sector 106,0.95,2.0,2.0,new,940.0,0.0,0.0,0
0,sector 108,0.7,2.0,2.0,old,1362.0,0.0,0.0,1
0,sector 81,2.3,3.0,3.0,new,1617.0,1.0,2.0,0
0,sector 107,0.49,2.0,2.0,new,598.0,0.0,2.0,0
0,sector 37d,1.8,4.0,3.0,new,2025.0,1.0,0.0,0
0,sector 92,0.9,4.0,5.0,new,1805.0,1.0,0.0,0
1,sector 48,7.65,4.0,4.0,old,4000.0,1.0,0.0,0
0,sector 69,1.38,3.0,3.0,new,1392.0,0.0,0.0,2
0,sector 85,1.1,3.0,4.0,old,1467.0,1.0,2.0,1
0,sector 79,1.29,2.0,2.0,new,1423.0,0.0,0.0,0
0,sector 107,1.7,4.0,5.0,new,2505.0,1.0,0.0,1
0,sector 15,1.4,4.0,3.0,old,1444.0,0.0,1.0,1
